mode,time_bin_s,ue,alloc_rbg,total_alloc_rbg,share_pct,share_pct_smooth
PF,30.150000000000002,6,12870,136422,9.433962264150944,13.459073104122304
PF,30.150000000000002,7,14690,136422,10.768057937869258,9.419991334712213
PF,30.150000000000002,8,15301,136422,11.215932914046121,9.620353660395226
PF,30.150000000000002,9,18057,136422,13.236134934248142,9.046021778623343
PF,30.25,1,16653,135044,12.331536388140162,11.853216339833276
PF,30.25,2,16653,135044,12.331536388140162,11.852736183583048
PF,30.25,3,16653,135044,12.331536388140162,11.852736183583048
PF,30.25,4,16653,135044,12.331536388140162,11.852736183583048
PF,30.25,5,16354,135044,12.110127069695803,11.605190385043704
PF,30.25,6,17888,135044,13.246053138236427,9.593060567798862
PF,30.25,7,15548,135044,11.513284559106662,11.463972436830206
PF,30.25,8,8203,135044,6.074316519060455,9.04336382302909
PF,30.25,9,10439,135044,7.730073161340008,10.882987896715724
PF,30.35,1,14066,118508,11.869240895129442,12.100388641634801
PF,30.35,2,14053,118508,11.858271171566477,12.094903779853322
PF,30.35,3,14053,118508,11.858271171566477,12.09490377985332
PF,30.35,4,14053,118508,11.858271171566477,12.094903779853322
PF,30.35,5,15197,118508,12.823606845107504,12.466866957401653
PF,30.35,6,7228,118508,6.099166301009214,9.67260971962282
PF,30.35,7,14352,118508,12.110574813514699,11.81192968631068
PF,30.35,8,11661,118508,9.839842035980693,7.957079277520573
PF,30.35,9,13845,118508,11.682755594559017,9.706414377949514
RR,0.45,1,10725,96460,11.118598382749326,11.113164072689331
RR,0.45,2,10725,96460,11.118598382749326,11.113164072689331
RR,0.45,3,10725,96460,11.118598382749326,11.113164072689331
RR,0.45,4,10725,96460,11.118598382749326,11.113164072689331
RR,0.45,5,10712,96460,11.10512129380054,11.114033562298932
RR,0.45,6,10712,96460,11.10512129380054,11.114033562298932
RR,0.45,7,10712,96460,11.10512129380054,11.106425528214938
RR,0.45,8,10712,96460,11.10512129380054,11.106425528214938
RR,0.45,9,10712,96460,11.10512129380054,11.106425528214938
RR,0.55,1,9490,85436,11.107729762629337,11.111082128124124
RR,0.55,2,9490,85436,11.107729762629337,11.111082128124124
RR,0.55,3,9490,85436,11.107729762629337,11.111082128124124
RR,0.55,4,9490,85436,11.107729762629337,11.111082128124124
RR,0.55,5,9503,85436,11.122945830797322,11.111661787863857
RR,0.55,6,9503,85436,11.122945830797322,11.111661787863857
RR,0.55,7,9490,85436,11.107729762629337,11.110782637258595
RR,0.55,8,9490,85436,11.107729762629337,11.110782637258595
RR,0.55,9,9490,85436,11.107729762629337,11.110782637258595
RR,0.65,1,11479,103350,11.10691823899371,11.109100203278715
RR,0.65,2,11479,103350,11.10691823899371,11.109100203278715
RR,0.65,3,11479,103350,11.10691823899371,11.109100203278715
RR,0.65,4,11479,103350,11.10691823899371,11.109100203278715
RR,0.65,5,11479,103350,11.10691823899371,11.114172226001378
RR,0.65,6,11479,103350,11.10691823899371,11.114172226001378
RR,0.65,7,11492,103350,11.119496855345911,11.113293075396115
RR,0.65,8,11492,103350,11.119496855345911,11.10866858409016
RR,0.65,9,11492,103350,11.119496855345911,11.113293075396115
RR,0.75,1,10413,93704,11.112652608213097,11.112377510268743
RR,0.75,2,10413,93704,11.112652608213097,11.112377510268743
RR,0.75,3,10413,93704,11.112652608213097,11.112377510268743
RR,0.75,4,10413,93704,11.112652608213097,11.112377510268743
RR,0.75,5,10413,93704,11.112652608213097,11.107539580902511
RR,0.75,6,10413,93704,11.112652608213097,11.107539580902511
RR,0.75,7,10413,93704,11.112652608213097,11.111732453019911
RR,0.75,8,10400,93704,11.098779134295228,11.111945891080188
RR,0.75,9,10413,93704,11.112652608213097,11.111732453019911
RR,0.8500000000000001,1,9958,89570,11.117561683599419,11.115045701616177
RR,0.8500000000000001,2,9958,89570,11.117561683599419,11.115045701616177
RR,0.8500000000000001,3,9958,89570,11.117561683599419,11.109328148728814
RR,0.8500000000000001,4,9958,89570,11.117561683599419,11.109328148728814
RR,0.8500000000000001,5,9945,89570,11.103047895500726,11.110207772249948
RR,0.8500000000000001,6,9945,89570,11.103047895500726,11.110207772249948
RR,0.8500000000000001,7,9945,89570,11.103047895500726,11.110207772249948
RR,0.8500000000000001,8,9958,89570,11.117561683599419,11.110421210310221
RR,0.8500000000000001,9,9945,89570,11.103047895500726,11.110207772249948
RR,0.9500000000000001,1,8424,75790,11.11492281303602,11.1114935561203
RR,0.9500000000000001,2,8424,75790,11.11492281303602,11.1114935561203
RR,0.9500000000000001,3,8411,75790,11.097770154373928,11.110333472925761
RR,0.9500000000000001,4,8411,75790,11.097770154373928,11.110333472925761
RR,0.9500000000000001,5,8424,75790,11.11492281303602,11.111213096446894
RR,0.9500000000000001,6,8424,75790,11.11492281303602,11.111213096446894
RR,0.9500000000000001,7,8424,75790,11.11492281303602,11.111213096446894
RR,0.9500000000000001,8,8424,75790,11.11492281303602,11.1114935561203
RR,0.9500000000000001,9,8424,75790,11.11492281303602,11.111213096446894
RR,1.05,1,10556,95082,11.101996171725458,11.109857197658192
RR,1.05,2,10556,95082,11.101996171725458,11.109857197658192
RR,1.05,3,10569,95082,11.115668580803938,11.108697114463654
RR,1.05,4,10569,95082,11.115668580803938,11.108697114463654
RR,1.05,5,10569,95082,11.115668580803938,11.114414667351019
RR,1.05,6,10569,95082,11.115668580803938,11.114414667351019
RR,1.05,7,10569,95082,11.115668580803938,11.114414667351019
RR,1.05,8,10556,95082,11.101996171725458,11.109857197658192
RR,1.05,9,10569,95082,11.115668580803938,11.109790176045061
RR,1.1500000000000001,1,10413,93704,11.112652608213097,11.109178843925791
RR,1.1500000000000001,2,10413,93704,11.112652608213097,11.109178843925791
RR,1.1500000000000001,3,10413,93704,11.112652608213097,11.113736313618618
RR,1.1500000000000001,4,10413,93704,11.112652608213097,11.113736313618618
RR,1.1500000000000001,5,10413,93704,11.112652608213097,11.113736313618618
RR,1.1500000000000001,6,10413,93704,11.112652608213097,11.113736313618618
RR,1.1500000000000001,7,10413,93704,11.112652608213097,11.108406391435482
RR,1.1500000000000001,8,10413,93704,11.112652608213097,11.109178843925791
RR,1.1500000000000001,9,10400,93704,11.098779134295228,11.109111822312663
RR,1.25,1,9035,81302,11.112887751838823,11.111695655547203
RR,1.25,2,9035,81302,11.112887751838823,11.111695655547203
RR,1.25,3,9035,81302,11.112887751838823,11.111695655547203
RR,1.25,4,9035,81302,11.112887751838823,11.111695655547203
RR,1.25,5,9035,81302,11.112887751838823,11.111695655547203
RR,1.25,6,9035,81302,11.112887751838823,11.111695655547203
RR,1.25,7,9022,81302,11.096897985289415,11.111059246928322
RR,1.25,8,9035,81302,11.112887751838823,11.111695655547203
RR,1.25,9,9035,81302,11.112887751838823,11.107071164241248
RR,1.35,1,10257,92326,11.109546606589692,11.110770757286012
RR,1.35,2,10257,92326,11.109546606589692,11.110770757286012
RR,1.35,3,10257,92326,11.109546606589692,11.110770757286012
RR,1.35,4,10257,92326,11.109546606589692,11.110770757286012
RR,1.35,5,10257,92326,11.109546606589692,11.110770757286014
RR,1.35,6,10257,92326,11.109546606589692,11.110770757286014
RR,1.35,7,10270,92326,11.123627147282455,11.110134348667131
RR,1.35,8,10257,92326,11.109546606589692,11.110770757286012
RR,1.35,9,10257,92326,11.109546606589692,11.114470350330777
RR,1.4500000000000002,1,13013,117130,11.109877913429523,11.112674300922848
RR,1.4500000000000002,2,13013,117130,11.109877913429523,11.112674300922848
RR,1.4500000000000002,3,13013,117130,11.109877913429523,11.108181937939918
RR,1.4500000000000002,4,13013,117130,11.109877913429523,11.112674300922848
RR,1.4500000000000002,5,13013,117130,11.109877913429523,11.108181937939918
RR,1.4500000000000002,6,13013,117130,11.109877913429523,11.108181937939918
RR,1.4500000000000002,7,13013,117130,11.109877913429523,11.112875451504172
RR,1.4500000000000002,8,13013,117130,11.109877913429523,11.112674300922848
RR,1.4500000000000002,9,13026,117130,11.120976692563818,11.111881530984684
RR,1.55,1,10725,96460,11.118598382749326,11.113195802429985
RR,1.55,2,10725,96460,11.118598382749326,11.113195802429985
RR,1.55,3,10712,96460,11.10512129380054,11.108703439447057
RR,1.55,4,10725,96460,11.118598382749326,11.113195802429985
RR,1.55,5,10712,96460,11.10512129380054,11.10870343944706
RR,1.55,6,10712,96460,11.10512129380054,11.10870343944706
RR,1.55,7,10712,96460,11.10512129380054,11.108703439447057
RR,1.55,8,10725,96460,11.118598382749326,11.113195802429985
RR,1.55,9,10712,96460,11.10512129380054,11.112403032491821
RR,1.6500000000000001,1,11024,99216,11.11111111111111,11.109496209385222
RR,1.6500000000000001,2,11024,99216,11.11111111111111,11.109496209385222
RR,1.6500000000000001,3,11024,99216,11.11111111111111,11.111169834810234
RR,1.6500000000000001,4,11024,99216,11.11111111111111,11.109496209385222
RR,1.6500000000000001,5,11024,99216,11.11111111111111,11.111169834810234
RR,1.6500000000000001,6,11024,99216,11.11111111111111,11.111169834810234
RR,1.6500000000000001,7,11024,99216,11.11111111111111,11.111169834810234
RR,1.6500000000000001,8,11024,99216,11.11111111111111,11.115662197793164
RR,1.6500000000000001,9,11024,99216,11.11111111111111,11.111169834810234
RR,1.75,1,7800,70278,11.098779134295228,11.111615248528112
RR,1.75,2,7800,70278,11.098779134295228,11.111615248528112
RR,1.75,3,7813,70278,11.117277099519052,11.111847927335958
RR,1.75,4,7800,70278,11.098779134295228,11.105681938928017
RR,1.75,5,7813,70278,11.117277099519052,11.111847927335958
RR,1.75,6,7813,70278,11.117277099519052,11.111847927335958
RR,1.75,7,7813,70278,11.117277099519052,11.111847927335958
RR,1.75,8,7813,70278,11.117277099519052,11.111847927335958
RR,1.75,9,7813,70278,11.117277099519052,11.111847927335958
RR,1.85,1,8125,73034,11.124955500177999,11.112069022566793
RR,1.85,2,8125,73034,11.124955500177999,11.107985056218675
RR,1.85,3,8112,73034,11.107155571377714,11.112301701374639
RR,1.85,4,8112,73034,11.107155571377714,11.106135712966697
RR,1.85,5,8112,73034,11.107155571377714,11.112301701374639
RR,1.85,6,8112,73034,11.107155571377714,11.112301701374639
RR,1.85,7,8112,73034,11.107155571377714,11.112301701374639
RR,1.85,8,8112,73034,11.107155571377714,11.112301701374639
RR,1.85,9,8112,73034,11.107155571377714,11.112301701374639
RR,1.9500000000000002,1,11791,106106,11.11247243322715,11.114591472370043
RR,1.9500000000000002,2,11778,106106,11.100220534182798,11.115272133428059
RR,1.9500000000000002,3,11791,106106,11.11247243322715,11.113422790176083
RR,1.9500000000000002,4,11791,106106,11.11247243322715,11.113422790176083
RR,1.9500000000000002,5,11791,106106,11.11247243322715,11.108658162769947
RR,1.9500000000000002,6,11791,106106,11.11247243322715,11.108658162769947
RR,1.9500000000000002,7,11791,106106,11.11247243322715,11.108658162769947
RR,1.9500000000000002,8,11791,106106,11.11247243322715,11.108658162769947
RR,1.9500000000000002,9,11791,106106,11.11247243322715,11.108658162769947
RR,2.0500000000000003,1,10101,90948,11.106346483704975,11.110933952753546
RR,2.0500000000000003,2,10114,90948,11.120640365923386,11.111614613811563
RR,2.0500000000000003,3,10114,90948,11.120640365923386,11.111390834833585
RR,2.0500000000000003,4,10114,90948,11.120640365923386,11.111390834833585
RR,2.0500000000000003,5,10101,90948,11.106346483704975,11.110933952753543
RR,2.0500000000000003,6,10101,90948,11.106346483704975,11.110933952753543
RR,2.0500000000000003,7,10101,90948,11.106346483704975,11.110933952753543
RR,2.0500000000000003,8,10101,90948,11.106346483704975,11.110933952753543
RR,2.0500000000000003,9,10101,90948,11.106346483704975,11.110933952753543
RR,2.15,1,11180,100594,11.113982941328509,11.106658550482857
RR,2.15,2,11180,100594,11.113982941328509,11.111423177888996
RR,2.15,3,11167,100594,11.10105970535022,11.112028954575479
RR,2.15,4,11167,100594,11.10105970535022,11.112028954575479
RR,2.15,5,11180,100594,11.113982941328509,11.11157207249544
RR,2.15,6,11180,100594,11.113982941328509,11.11157207249544
RR,2.15,7,11180,100594,11.113982941328509,11.11157207249544
RR,2.15,8,11180,100594,11.113982941328509,11.11157207249544
RR,2.15,9,11180,100594,11.113982941328509,11.11157207249544
RR,2.25,1,9789,88192,11.099646226415095,11.108945571637804
RR,2.25,2,9789,88192,11.099646226415095,11.108945571637804
RR,2.25,3,9802,88192,11.11438679245283,11.109551348324288
RR,2.25,4,9802,88192,11.11438679245283,11.109551348324288
RR,2.25,5,9802,88192,11.11438679245283,11.113859093650383
RR,2.25,6,9802,88192,11.11438679245283,11.113859093650383
RR,2.25,7,9802,88192,11.11438679245283,11.113859093650383
RR,2.25,8,9802,88192,11.11438679245283,11.107569785474283
RR,2.25,9,9802,88192,11.11438679245283,11.113859093650383
RR,2.35,1,7657,68900,11.11320754716981,11.109735324947588
RR,2.35,2,7657,68900,11.11320754716981,11.109735324947588
RR,2.35,3,7657,68900,11.11320754716981,11.114648846960167
RR,2.35,4,7657,68900,11.11320754716981,11.114648846960167
RR,2.35,5,7657,68900,11.11320754716981,11.114648846960167
RR,2.35,6,7657,68900,11.11320754716981,11.109407756813418
RR,2.35,7,7657,68900,11.11320754716981,11.109407756813418
RR,2.35,8,7644,68900,11.09433962264151,11.108359538784066
RR,2.35,9,7657,68900,11.11320754716981,11.109407756813418
RR,2.45,1,9191,82680,11.116352201257861,11.114149166755498
RR,2.45,2,9191,82680,11.116352201257861,11.114149166755498
RR,2.45,3,9191,82680,11.116352201257861,11.114149166755498
RR,2.45,4,9191,82680,11.116352201257861,11.114149166755498
RR,2.45,5,9191,82680,11.116352201257861,11.108819244572361
RR,2.45,6,9178,82680,11.10062893081761,11.108908076608747
RR,2.45,7,9178,82680,11.10062893081761,11.108908076608747
RR,2.45,8,9191,82680,11.116352201257861,11.107859858579397
RR,2.45,9,9178,82680,11.10062893081761,11.108908076608747
RR,2.5500000000000003,1,9035,81302,11.112887751838823,11.111453748965742
RR,2.5500000000000003,2,9035,81302,11.112887751838823,11.111453748965742
RR,2.5500000000000003,3,9035,81302,11.112887751838823,11.111453748965742
RR,2.5500000000000003,4,9035,81302,11.112887751838823,11.111453748965742
RR,2.5500000000000003,5,9022,81302,11.096897985289415,11.110616189765535
RR,2.5500000000000003,6,9035,81302,11.112887751838823,11.11070502180192
RR,2.5500000000000003,7,9035,81302,11.112887751838823,11.11070502180192
RR,2.5500000000000003,8,9035,81302,11.112887751838823,11.111453748965742
RR,2.5500000000000003,9,9035,81302,11.112887751838823,11.11070502180192
RR,2.6500000000000004,1,10712,96460,11.10512129380054,11.111595400050788
RR,2.6500000000000004,2,10712,96460,11.10512129380054,11.111595400050788
RR,2.6500000000000004,3,10712,96460,11.10512129380054,11.111595400050788
RR,2.6500000000000004,4,10712,96460,11.10512129380054,11.111595400050788
RR,2.6500000000000004,5,10725,96460,11.118598382749326,11.106508308299162
RR,2.6500000000000004,6,10725,96460,11.118598382749326,11.111838230482297
RR,2.6500000000000004,7,10725,96460,11.118598382749326,11.111838230482297
RR,2.6500000000000004,8,10712,96460,11.10512129380054,11.111595400050788
RR,2.6500000000000004,9,10725,96460,11.118598382749326,11.111838230482297
RR,2.75,1,11336,101972,11.116777154513004,11.109876070314293
RR,2.75,2,11336,101972,11.116777154513004,11.109876070314293
RR,2.75,3,11336,101972,11.116777154513004,11.109876070314295
RR,2.75,4,11336,101972,11.116777154513004,11.109876070314293
RR,2.75,5,11323,101972,11.104028556858745,11.115190923468466
RR,2.75,6,11323,101972,11.104028556858745,11.115190923468466
RR,2.75,7,11323,101972,11.104028556858745,11.110118900745803
RR,2.75,8,11336,101972,11.116777154513004,11.109876070314293
RR,2.75,9,11323,101972,11.104028556858745,11.110118900745803
RR,2.85,1,9490,85436,11.107729762629337,11.111270251929684
RR,2.85,2,9490,85436,11.107729762629337,11.111270251929687
RR,2.85,3,9490,85436,11.107729762629337,11.111270251929684
RR,2.85,4,9490,85436,11.107729762629337,11.111270251929684
RR,2.85,5,9503,85436,11.122945830797322,11.112092742100927
RR,2.85,6,9503,85436,11.122945830797322,11.112092742100927
RR,2.85,7,9490,85436,11.107729762629337,11.112442536771455
RR,2.85,8,9490,85436,11.107729762629337,11.111270251929687
RR,2.85,9,9490,85436,11.107729762629337,11.107020719378264
RR,2.95,1,8879,79924,11.109303838646714,11.10989540316305
RR,2.95,2,8879,79924,11.109303838646714,11.10989540316305
RR,2.95,3,8879,79924,11.109303838646714,11.10989540316305
RR,2.95,4,8879,79924,11.109303838646714,11.10989540316305
RR,2.95,5,8879,79924,11.109303838646714,11.11496742588571
RR,2.95,6,8879,79924,11.109303838646714,11.11496742588571
RR,2.95,7,8892,79924,11.125569290826284,11.110692729250284
RR,2.95,8,8879,79924,11.109303838646714,11.10989540316305
RR,2.95,9,8879,79924,11.109303838646714,11.10989540316305
RR,3.0500000000000003,1,10413,93704,11.112652608213097,11.112541675887917
RR,3.0500000000000003,2,10413,93704,11.112652608213097,11.112541675887917
RR,3.0500000000000003,3,10413,93704,11.112652608213097,11.10798420619509
RR,3.0500000000000003,4,10413,93704,11.112652608213097,11.112541675887917
RR,3.0500000000000003,5,10413,93704,11.112652608213097,11.10798420619509
RR,3.0500000000000003,6,10413,93704,11.112652608213097,11.10798420619509
RR,3.0500000000000003,7,10400,93704,11.098779134295228,11.113339001975149
RR,3.0500000000000003,8,10413,93704,11.112652608213097,11.112541675887917
RR,3.0500000000000003,9,10413,93704,11.112652608213097,11.112541675887917
RR,3.1500000000000004,1,10569,95082,11.115668580803938,11.112016983882123
RR,3.1500000000000004,2,10569,95082,11.115668580803938,11.112016983882123
RR,3.1500000000000004,3,10556,95082,11.101996171725458,11.112531536911959
RR,3.1500000000000004,4,10569,95082,11.115668580803938,11.112016983882123
RR,3.1500000000000004,5,10556,95082,11.101996171725458,11.112531536911959
RR,3.1500000000000004,6,10556,95082,11.101996171725458,11.107459514189296
RR,3.1500000000000004,7,10569,95082,11.115668580803938,11.107392492576167
RR,3.1500000000000004,8,10569,95082,11.115668580803938,11.112016983882123
RR,3.1500000000000004,9,10569,95082,11.115668580803938,11.112016983882123
RR,3.25,1,9490,85436,11.107729762629337,11.110981650007657
RR,3.25,2,9490,85436,11.107729762629337,11.110981650007654
RR,3.25,3,9503,85436,11.122945830797322,11.11149620303749
RR,3.25,4,9490,85436,11.107729762629337,11.110981650007657
RR,3.25,5,9503,85436,11.122945830797322,11.11149620303749
RR,3.25,6,9490,85436,11.107729762629337,11.111117693879082
RR,3.25,7,9490,85436,11.107729762629337,11.110981650007654
RR,3.25,8,9490,85436,11.107729762629337,11.110981650007654
RR,3.25,9,9490,85436,11.107729762629337,11.110981650007654
RR,3.35,1,10257,92326,11.109546606589692,11.111958250656118
RR,3.35,2,10257,92326,11.109546606589692,11.107465887673191
RR,3.35,3,10257,92326,11.109546606589692,11.11253791039585
RR,3.35,4,10257,92326,11.109546606589692,11.107465887673188
RR,3.35,5,10257,92326,11.109546606589692,11.11253791039585
RR,3.35,6,10270,92326,11.123627147282455,11.112159401237443
RR,3.35,7,10257,92326,11.109546606589692,11.111958250656118
RR,3.35,8,10257,92326,11.109546606589692,11.111958250656118
RR,3.35,9,10257,92326,11.109546606589692,11.111958250656118
RR,3.45,1,10725,96460,11.118598382749326,11.108974707878083
RR,3.45,2,10712,96460,11.10512129380054,11.110648333303095
RR,3.45,3,10712,96460,11.10512129380054,11.110648333303095
RR,3.45,4,10712,96460,11.10512129380054,11.110648333303095
RR,3.45,5,10712,96460,11.10512129380054,11.110648333303095
RR,3.45,6,10712,96460,11.10512129380054,11.11534184686735
RR,3.45,7,10725,96460,11.118598382749326,11.115140696286025
RR,3.45,8,10725,96460,11.118598382749326,11.108974707878081
RR,3.45,9,10725,96460,11.118598382749326,11.108974707878081
RR,3.5500000000000003,1,7800,70278,11.098779134295228,11.108893785230421
