mode,time_bin_s,served_ues,served_ues_smooth
MR,12.450000000000001,3.9875,3.9249999999999994
MR,12.55,4.0,3.995833333333333
MR,12.65,4.0,4.0
MR,12.75,4.0,4.0
MR,12.850000000000001,4.0,4.0
MR,12.950000000000001,4.0,4.0
MR,13.05,4.0,4.0
MR,13.15,4.0,4.0
MR,13.25,4.0,4.0
MR,13.350000000000001,4.0,4.0
MR,13.450000000000001,4.0,4.0
MR,13.55,4.0,4.0
MR,13.65,4.0,4.0
MR,13.75,4.0,4.0
MR,13.850000000000001,4.0,4.0
MR,13.950000000000001,4.0,4.0
MR,14.05,4.0,4.0
MR,14.15,4.0,4.0
MR,14.25,4.0,4.0
MR,14.350000000000001,4.0,4.0
MR,14.450000000000001,4.0,4.0
MR,14.55,4.0,4.0
MR,14.65,4.0,4.0
MR,14.75,4.0,4.0
MR,14.850000000000001,4.0,4.0
MR,14.950000000000001,4.0,4.0
MR,15.05,4.0,4.0
MR,15.15,4.0,4.0
MR,15.25,4.0,4.0
MR,15.350000000000001,4.0,4.0
MR,15.450000000000001,4.0,4.0
MR,15.55,4.0,4.0
MR,15.65,4.0,4.0
MR,15.75,4.0,4.0
MR,15.850000000000001,4.0,4.0
MR,15.950000000000001,4.0,4.0
MR,16.05,4.0,4.0
MR,16.150000000000002,4.0,4.0
MR,16.25,4.0,4.0
MR,16.35,4.0,4.0
MR,16.45,4.0,4.0
MR,16.55,4.0,4.0
MR,16.650000000000002,4.0,4.0
MR,16.75,4.0,4.0
MR,16.85,4.0,4.0
MR,16.95,4.0,4.0
MR,17.05,4.0,4.0
MR,17.150000000000002,4.0,4.0
MR,17.25,4.0,4.0
MR,17.35,4.0,4.0
MR,17.45,4.0,4.0
MR,17.55,4.0,4.0
MR,17.650000000000002,4.0,4.0
MR,17.75,4.0,4.0
MR,17.85,4.0,4.0
MR,17.95,4.0,4.0
MR,18.05,4.0,4.0
MR,18.150000000000002,4.0,4.0
MR,18.25,4.0,4.0
MR,18.35,4.0,4.0
MR,18.45,4.0,4.0
MR,18.55,4.0,4.0
MR,18.650000000000002,4.0,4.0
MR,18.75,4.0,4.0
MR,18.85,4.0,4.0
MR,18.95,4.0,4.0
MR,19.05,4.0,4.0
MR,19.150000000000002,4.0,4.0
MR,19.25,4.0,4.0
MR,19.35,4.0,4.0
MR,19.450000000000003,4.0,4.0
MR,19.55,4.0,4.0
MR,19.650000000000002,4.0,4.0
MR,19.75,4.0,4.0
MR,19.85,4.0,4.0
MR,19.950000000000003,4.0,4.0
MR,20.05,4.0,4.0
MR,20.150000000000002,4.0,4.0
MR,20.25,4.0,4.0
MR,20.35,4.0,4.0
MR,20.450000000000003,4.0,4.0
MR,20.55,4.0,4.0
MR,20.650000000000002,4.0,4.0
MR,20.75,4.0,4.0
MR,20.85,4.0,4.0
MR,20.950000000000003,4.0,4.0
MR,21.05,4.0,4.0
MR,21.150000000000002,4.0,4.0
MR,21.25,4.0,4.0
MR,21.35,4.0,4.0
MR,21.450000000000003,4.0,4.0
MR,21.55,4.0,4.0
MR,21.650000000000002,4.0,4.0
MR,21.75,4.0,4.0
MR,21.85,4.0,4.0
MR,21.950000000000003,4.0,4.0
MR,22.05,4.0,4.0
MR,22.150000000000002,4.0,4.0
MR,22.25,4.0,4.0
MR,22.35,4.0,4.0
MR,22.450000000000003,4.0,4.0
MR,22.55,4.0,4.0
MR,22.650000000000002,4.0,4.0
MR,22.75,4.0,4.0
