time_s,alpha_mean,alpha_ci95,n_seeds,alpha_mean_smooth,alpha_ci95_smooth
3.85,0.9941650152331395,0.0008092731016290184,100,0.9941674018192247,0.0008080024358671518
3.95,0.9941611136833663,0.0008097886978778463,100,0.9941631510972178,0.0008093259662988438
4.05,0.9941633243751475,0.0008089160993896664,100,0.9941656616929601,0.0008064596916224089
4.15,0.9941725470203661,0.0008006742775997141,100,0.9941684551628122,0.000803129600486935
4.25,0.994169494092923,0.0007997984244714247,100,0.9941663633653116,0.0008000486384773666
4.3500000000000005,0.9941570489826459,0.000799673213360961,100,0.9941672024757358,0.0007998854317423283
4.45,0.9941750643516386,0.0008001846573945989,100,0.9941677613900084,0.0007999649675739011
4.55,0.9941711708357406,0.0008000370319661436,100,0.994172897408122,0.0008002405648958226
4.65,0.9941724570369869,0.0008005000053267255,100,0.9941743154756176,0.0008002887374352284
4.75,0.9941793185541254,0.000800329175012816,100,0.9941747375196407,0.0008004301960903665
4.8500000000000005,0.9941724369678098,0.000800461407931558,100,0.9941746255703627,0.0008001993296900272
4.95,0.994172121189153,0.0007998074061257073,100,0.9941721359302663,0.0008000050429008489
5.050000000000001,0.9941718496338359,0.0007997463146452813,100,0.9941741955034082,0.0007998217167403003
5.15,0.9941786156872361,0.000799911429449912,100,0.9941753378681915,0.0007999588562285247
5.25,0.9941755482835023,0.000800218824590381,100,0.9941760127731193,0.0008001898924429973
5.3500000000000005,0.9941738743486193,0.000800439423288699,100,0.9941739645778006,0.0008001804554751377
5.45,0.9941724711012802,0.0007998831185463328,100,0.9941741559751475,0.0008001315281278536
5.550000000000001,0.994176122475543,0.0008000720425485287,100,0.9941746253176639,0.0008000084125503272
5.65,0.9941752823761684,0.0008000700765561201,100,0.9941761286972031,0.0008002941261796693
5.75,0.994176981239898,0.0008007402594343592,100,0.994176444733911,0.0008003695802229926
5.8500000000000005,0.9941770705856665,0.0008002984046784987,100,0.9941757697162399,0.0008004737798989973
5.95,0.9941732573231553,0.0008003826755841336,100,0.9941759344995772,0.0008002880099472642
6.050000000000001,0.9941774755899095,0.0008001829495791603,100,0.9941756491020458,0.0008003438092174874
6.15,0.9941762143930728,0.0008004658024891682,100,0.9941765061328263,0.0008001362358448449
6.25,0.9941758284154966,0.0007997599554662062,100,0.9941742586269428,0.0008000632394918418
6.3500000000000005,0.994170733072259,0.0007999639605201506,100,0.9941738614939664,0.0008000227146500136
6.45,0.9941750229941434,0.0008003442279636838,100,0.9941739462651262,0.000800215444623807
6.550000000000001,0.9941760827289761,0.000800338145387587,100,0.9941676984423191,0.0008014738734062541
6.65,0.9941519896038377,0.0008037392468674918,100,0.9941439929212307,0.0008066100947582332
6.75,0.9941039064308781,0.000815752892019621,100,0.9941189005944517,0.0008114864505283304
6.8500000000000005,0.9941008057486392,0.0008149672126978784,100,0.9941022471343569,0.0008152438572231194
6.95,0.9941020292235534,0.0008150114669518586,100,0.9940999450487215,0.0008149810359404291
7.050000000000001,0.994097000173972,0.0008149644281715505,100,0.9940978430397278,0.0008149048788294908
7.15,0.9940944997216582,0.0008147387413650634,100,0.9940954152332022,0.000814753076129247
7.25,0.9940947458039762,0.000814556058851127,100,0.9940969906880953,0.0008150219572249032
7.3500000000000005,0.9941017265386516,0.000815771071458519,100,0.9941018159629511,0.000815216081096358
7.45,0.9941089755462257,0.0008153211129794281,100,0.994106021735743,0.0008155341886926338
7.550000000000001,0.9941073631223518,0.0008155103816399544,100,0.9941062389733418,0.0008152608583293407
7.65,0.9941023782514478,0.0008149510803686394,100,0.9941055040091404,0.0008152177801319063
7.75,0.9941067706536221,0.0008151918783871252,100,0.9941032208791819,0.0008149863751669518
7.8500000000000005,0.9941005137324759,0.0008148161667450908,100,0.9941005096004795,0.000814651283701963
7.95,0.9940942444153404,0.000813945805973673,100,0.9940967673703985,0.0008144627680959658
8.05,0.9940955439633794,0.0008146263315691336,100,0.9940964773351763,0.0008144764253928176
8.15,0.9940996436268089,0.0008148571386356463,100,0.9940991387617485,0.000814899950553919
8.25,0.994102228695057,0.0008152163814569771,100,0.9941021342307407,0.0008152477380122329
8.35,0.9941045303703562,0.0008156696939440753,100,0.9941022537575143,0.0008151306905561925
8.450000000000001,0.9941000022071295,0.0008145059962675252,100,0.994103459494245,0.0008150347925243665
8.55,0.9941058459052493,0.0008149286873614993,100,0.9941023929736316,0.0008148367185120796
8.65,0.994101330808516,0.0008150754719072143,100,0.9941040703210119,0.0008151260285963083
8.75,0.9941050342492705,0.000815373926520211,100,0.9941040738008279,0.0008152716433694132
8.85,0.9941058563446972,0.0008153655316808141,100,0.9941041122434388,0.0008150991678997219
8.950000000000001,0.9941014461363485,0.0008145580454981408,100,0.9941046291691619,0.0008151429185993556
9.05,0.9941065850264402,0.0008155051786191121,100,0.9941054017925377,0.0008152559796909246
9.15,0.9941081742148244,0.0008157047149555208,100,0.9941060668663803,0.0008156958681312861
9.25,0.994103441357876,0.0008158777108192258,100,0.9941063288542099,0.0008156422749061977
9.35,0.9941073709899293,0.0008153443989438469,100,0.9941054370198404,0.0008155388595159741
9.450000000000001,0.9941054987117158,0.0008153944687848497,100,0.9941064143465196,0.000815434753893455
9.55,0.9941063733379137,0.0008155653939516687,100,0.9941053329852506,0.0008155429283129927
9.65,0.994104126906122,0.0008156689222024597,100,0.9941036503913656,0.0008153316284291814
9.75,0.994100450930061,0.0008147605691334158,100,0.9941044434922061,0.0008153029824068625
9.850000000000001,0.9941087526404351,0.0008154794558847123,100,0.9941043929687527,0.0008150823887699073
9.950000000000001,0.9941039753357619,0.0008150071412915937,100,0.9941009121182264,0.0008127744347434826
10.05,0.9940900083784824,0.0008078367070541416,100,0.9940917140598154,0.000810238905366243
10.15,0.9940811584652021,0.0008078728677529939,100,0.9940859366214685,0.0008079633790943397
10.25,0.9940866430207211,0.0008081805624758837,100,0.9940835246913613,0.000808134728722462
10.350000000000001,0.9940827725881607,0.0008083507559385082,100,0.9940828331616899,0.0008081446399707532
10.450000000000001,0.994079083876188,0.0008079026014978676,100,0.9940811745238771,0.0008079867317968972
10.55,0.9940816671072826,0.0008077068379543157,100,0.9940809302238915,0.0008078469332817418
10.65,0.9940820396882039,0.000807931360393042,100,0.9940814541717908,0.00080786198738613
10.75,0.9940806557198859,0.0008079477638110323,100,0.9940816849607081,0.0008079592256168298
10.850000000000001,0.994082359474035,0.0008079985526464149,100,0.994081684509192,0.0008081071221369734
10.950000000000001,0.994082038333655,0.0008083750499534726,100,0.9940857530417243,0.0008085916864244734
11.05,0.9940928613174829,0.0008094014566735327,100,0.9940900590702153,0.0008091550593503823
11.15,0.994095277559508,0.0008096886714241417,100,0.9940947303828871,0.0008096527160952249
