mode,time_bin_s,backlog_mbit,backlog_mbit_smooth
IA-FMR,26.450000000000003,4726.205167748428,4726.157234762831
IA-FMR,26.55,4769.41794295,4769.464046032809
IA-FMR,26.650000000000002,4812.7690274,4812.769026566667
IA-FMR,26.75,4856.12010935,4856.164340175466
IA-FMR,26.85,4899.603883776397,4899.561522689931
IA-FMR,26.950000000000003,4942.960574943397,4942.912611056598
IA-FMR,27.05,4986.17337445,4986.219468664465
IA-FMR,27.150000000000002,5029.5244566,5029.5244576
IA-FMR,27.25,5072.87554175,5072.919774141511
IA-FMR,27.35,5116.359324074534,5116.316957019079
IA-FMR,27.450000000000003,5159.716005232704,5159.6680427190795
IA-FMR,27.55,5202.92879885,5202.974897327568
IA-FMR,27.650000000000002,5246.2798879,5246.279888399999
IA-FMR,27.75,5289.63097845,5289.675204510041
IA-FMR,27.85,5333.114747180124,5333.072342673354
IA-FMR,27.950000000000003,5376.471302389937,5376.423219706688
IA-FMR,28.05,5419.68360955,5419.729869379979
IA-FMR,28.150000000000002,5463.0346962,5463.034696933333
IA-FMR,28.25,5506.38578505,5506.430009427018
IA-FMR,28.35,5549.869547031056,5549.827190894943
IA-FMR,28.450000000000003,5593.2262406037735,5593.178277194944
IA-FMR,28.55,5636.43904395,5636.485137234591
IA-FMR,28.650000000000002,5679.7901271499995,5679.790126083334
IA-FMR,28.75,5723.14120715,5723.185436932297
IA-FMR,28.85,5766.624976496894,5766.58261895148
IA-FMR,28.950000000000003,5809.981673207547,5809.933708684814
IA-FMR,29.05,5853.1944763500005,5853.240566785848
IA-FMR,29.150000000000002,5896.5455508,5896.545551533333
IA-FMR,29.25,5939.89662745,5939.940867151657
IA-FMR,29.35,5983.380423204969,5983.3380567508175
IA-FMR,29.450000000000003,6026.737119597485,6026.689144784152
IA-FMR,29.55,6069.94989155,6069.995997265828
IA-FMR,29.650000000000002,6113.3009806499995,6113.30097985
IA-FMR,29.75,6156.65206735,6156.696304
IA-FMR,29.85,6200.135864,6200.093487137631
IA-FMR,29.950000000000003,6243.492530062893,6243.444571620964
IA-FMR,30.05,6286.7053208,6286.751420404297
IA-FMR,30.150000000000002,6330.05641035,6330.056413066665
IA-FMR,30.25,6373.40750805,6373.407507299999
IA-FMR,30.35,6416.7586035,6395.083055775
MR,0.45,4.1812360336134455,8.254570088878795
MR,0.55,12.327904144144144,12.322028012468905
MR,0.65,20.456943859649126,20.45978896762528
MR,0.75,28.59451889908257,28.53272525897117
MR,0.8500000000000001,36.54671301818182,36.567503660109146
MR,0.9500000000000001,44.56127906306306,44.69024083660543
MR,1.05,52.962730428571426,52.79327715218225
MR,1.1500000000000001,60.85582196491228,60.93334126877591
MR,1.25,68.98147141284404,68.95625112591878
MR,1.35,77.03146000000001,76.97956178047184
MR,1.4500000000000002,84.92575392857144,84.99146052273703
MR,1.55,93.01716763963964,92.99813844465895
MR,1.6500000000000001,101.05149376576577,101.0171779485908
MR,1.75,108.98287244036698,109.02728950080967
MR,1.85,117.04750229629629,117.03140957888775
MR,1.9500000000000002,125.063854,125.02103021370796
MR,2.0500000000000003,132.9517343448276,133.09269730914545
MR,2.15,141.2625035826087,141.16570237220853
MR,2.25,149.2828691891892,149.2909355789034
MR,2.35,157.3274339649123,157.3284136686511
MR,2.45,165.37493785185185,165.34335846273092
MR,2.5500000000000003,173.32770357142857,173.3734482384386
MR,2.6500000000000004,181.4177032920354,181.39238320903345
MR,2.75,189.43174276363635,189.44956033687558
MR,2.85,197.49923495495494,197.48589717346434
MR,2.95,205.52671380180178,205.49387375528252
MR,3.0500000000000003,213.4556725090909,213.4675854131547
MR,3.1500000000000004,221.42036992857143,221.51493564891777
MR,3.25,229.66876450909092,229.57661736017315
MR,3.35,237.64071764285714,237.6822785926548
MR,3.45,245.73735362601627,245.80592744256566
MR,3.5500000000000003,254.0397110588235,253.91236804594374
MR,3.6500000000000004,261.96003945299145,262.0325882908235
MR,3.75,270.0980143606558,270.0686108426443
MR,3.85,278.1477787142857,278.1791700677156
MR,3.95,286.2917171282051,286.3361117234073
MR,4.05,294.5688393277311,294.4960202621716
MR,4.15,302.6275043305785,302.67671644165875
MR,4.25,310.8338056666667,310.8323036737484
MR,4.3500000000000005,319.03560102399996,318.98287136843356
MR,4.45,327.07920741463414,327.135037413429
MR,4.55,335.2903038016529,335.3406981547168
MR,4.65,343.6525832478633,343.6097687771892
MR,4.75,351.8864192820513,351.88062788462713
MR,4.8500000000000005,360.10288112396694,360.05192967035345
MR,4.95,368.16648860504205,368.25988062041347
MR,5.050000000000001,376.5102721322314,376.40414337144085
MR,5.15,384.5356693770492,384.5477308081783
MR,5.25,392.5972509152542,392.6767632012596
