mode,time_bin_s,effective_ues,top1_share_pct,effective_ues_smooth,top1_share_pct_smooth
MR,28.650000000000002,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,28.75,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,28.85,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,28.950000000000003,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,29.05,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,29.150000000000002,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,29.25,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,29.35,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,29.450000000000003,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,29.55,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,29.650000000000002,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,29.75,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,29.85,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,29.950000000000003,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,30.05,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,30.150000000000002,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,30.25,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
MR,30.35,3.9985765124555157,25.471698113207548,3.9985765124555157,25.471698113207548
PF,0.45,8.968310479709007,12.28930817610063,8.870911230230455,12.38771735109138
PF,0.55,8.773511980751904,12.486126526082131,8.874589005830904,12.800314075156374
PF,0.65,8.8819445570318,13.625507523286362,8.835223028286789,13.308857770053132
PF,0.75,8.850212547076664,13.814939260790904,8.872691620085407,13.392098613560348
PF,0.8500000000000001,8.885917756147759,12.735849056603774,8.876572091559309,12.910046533329849
PF,0.9500000000000001,8.893585971453502,12.179351282594869,8.846739885615607,13.660093668804071
PF,1.05,8.760715929245565,16.065080667213564,8.822701959183723,13.721792578126575
PF,1.1500000000000001,8.813803976852098,12.920945784571291,8.810061020388035,14.225330715489179
PF,1.25,8.855663155066443,13.689965694682677,8.82294711551073,13.155368613869683
PF,1.35,8.799374214613648,12.85519436235508,8.752444606589034,13.770818551507347
PF,1.4500000000000002,8.60229645008701,14.767295597484278,8.710958032642884,14.610584131838964
PF,1.55,8.731203433227993,16.20926243567753,8.747117262981353,14.275803860709525
PF,1.6500000000000001,8.907851905629057,11.850853548966757,8.766333121556235,14.351125813389968
PF,1.75,8.659944025811656,14.993261455525609,8.779756874840784,13.76414443272524
PF,1.85,8.77147469308164,14.448318293683347,8.698327483478879,15.04542080834124
PF,1.9500000000000002,8.663563731543338,15.694682675814756,8.75122919367179,14.696286076515776
PF,2.0500000000000003,8.818649156390393,13.945857260049221,8.736068092660172,14.248139063561545
PF,2.15,8.725991390046786,13.10387725482065,8.742544094479928,14.16346138155881
PF,2.25,8.682991737002606,15.440649629806547,8.716840785722004,13.871236424854771
PF,2.35,8.741539230116619,13.069182389937106,8.777478677393463,13.710607637030146
PF,2.45,8.907905065061165,12.62199089134678,8.798149449604294,13.317701489617754
PF,2.5500000000000003,8.745004053635096,14.261931187569369,8.769399293240967,14.72837833897385
PF,2.6500000000000004,8.655288761026645,17.301212938005392,8.574569673914601,15.4867853928392
PF,2.75,8.323416207082058,14.897212052942836,8.61138398467959,15.179110376331522
PF,2.85,8.855446985930064,13.338906138046333,8.56848754653634,15.561585169183674
PF,2.95,8.526599446596906,18.448637316561847,8.77344326275854,14.501168232957108
PF,3.0500000000000003,8.93828335574865,11.71596124426313,8.804795161039548,14.147754430773304
PF,3.1500000000000004,8.949502680773088,12.27866473149492,8.893178602170837,12.203659392338642
PF,3.25,8.79174976999077,12.616352201257861,8.862101610236921,12.493864811514683
PF,3.35,8.845052379946907,12.58657750179126,8.804443611025048,13.271259586550968
PF,3.45,8.776528683137466,14.610849056603776,8.850693380782412,13.108935537434467
PF,3.5500000000000003,8.930499079262864,12.129380053908356,8.795486230434621,13.863216186329398
PF,3.6500000000000004,8.679430928903535,14.849419448476056,8.790215208807325,13.69750119129464
PF,3.75,8.760715618255576,14.113704071499503,8.761251808423639,14.038920777997246
PF,3.85,8.843608878111809,13.153638814016173,8.777739424800755,13.575159892656169
PF,3.95,8.72889377803488,13.45813679245283,8.809582046186165,13.450220293604323
PF,4.05,8.856243482411807,13.738885274343959,8.849970419854447,12.962798909956524
PF,4.15,8.964773999116654,11.691374663072777,8.799155300453398,13.445306771591746
PF,4.25,8.57644841983173,14.90566037735849,8.763370871257514,12.986637831964734
PF,4.3500000000000005,8.74889019482416,12.362878455462923,8.75294517355568,13.424895602743172
PF,4.45,8.933496906011152,13.0061479754081,8.864673375926477,13.044832033391716
PF,4.55,8.911633026944118,13.765469669304121,8.886940766721226,13.810737291966175
PF,4.65,8.815692367208408,14.660594231186295,8.840094041889161,13.5810715439625
PF,4.75,8.792956731514957,12.317150731397074,8.798977086272526,13.627015616458609
PF,4.8500000000000005,8.78828216009421,13.903301886792455,8.81597947816608,13.449068789194932
PF,4.95,8.866699542889071,14.12675374939526,8.853381308787315,13.409204634926061
PF,5.050000000000001,8.905162223378664,12.197558268590456,8.89322044578878,13.307973319072099
PF,5.15,8.907799571098604,13.599607939230578,8.91454046790678,12.78870223376328
PF,5.25,8.930659609243076,12.568940493468798,8.893694551738536,12.978852908098192
PF,5.3500000000000005,8.84262447487393,12.768010291595196,8.858763905818533,13.481464377690797
PF,5.45,8.803007633338593,15.107442348008385,8.778109059546074,14.61499705702934
PF,5.550000000000001,8.688695070425696,15.969538531484428,8.766491841004237,14.49083026370802
PF,5.65,8.807772819248417,12.39550991163124,8.71488096308393,13.737180912050285
PF,5.75,8.648174999577677,12.846494293035175,8.602057488104782,13.97250968395427
PF,5.8500000000000005,8.350224645488248,16.675524847196385,8.597029744439046,14.19077786854679
PF,5.95,8.792689588251218,13.050314465408805,8.574129869493156,14.869304928101103
PF,6.050000000000001,8.579475374739998,14.882075471698114,8.688132932589127,13.58408000918986
PF,6.15,8.692233834776168,12.819850090462651,8.620496280349636,14.382021261869292
PF,6.25,8.589779631532743,15.444138223447107,8.51516968954705,16.153982288779286
PF,6.3500000000000005,8.263495602332245,20.197958552428087,8.562792345942006,15.938439320836176
PF,6.45,8.835101803961031,12.173221186633326,8.651484114456254,15.384536328114814
PF,6.550000000000001,8.855854937075488,13.782429245283021,8.739013584406637,13.380230828976286
PF,6.65,8.526084012183393,14.185042055012504,8.734442494463567,14.079947311195092
PF,6.75,8.82138853413182,14.272370633289743,8.73672548747473,13.696572752213653
PF,6.8500000000000005,8.862703916108984,12.632305568338703,8.850845064312068,13.462661781771653
PF,6.95,8.868442742695397,13.483309143686501,8.796128385486028,13.229218626135333
PF,7.050000000000001,8.657238497653703,13.572041166380789,8.706461127690936,14.610290129158054
PF,7.15,8.593702142723707,16.77552007740687,8.730645632297602,14.044681070594615
PF,7.25,8.940996256515398,11.78648196799618,8.757416133805497,13.888591876769572
PF,7.3500000000000005,8.737550002177388,13.103773584905662,8.818514487769066,13.089757587369244
PF,7.45,8.776997204614414,14.379017209205887,8.569912690117757,14.700359389038637
PF,7.550000000000001,8.19519086356147,16.618287373004353,8.564078759647044,15.251335886887029
PF,7.65,8.720048210765249,14.756703078450844,8.599862422940285,14.68968115757049
PF,7.75,8.884348194494137,12.694053021256268,8.718828317920718,14.889245743927532
PF,7.8500000000000005,8.552088548502768,17.21698113207547,8.645212732713343,14.437750128578886
PF,7.95,8.499201455143124,13.402216232404912,8.581212672526421,14.516876188528286
PF,8.05,8.692348013933369,12.931431201104465,8.686785078849026,13.290461094188663
