scheduler,time_s,mean,CI95_low,CI95_high,n
RR,28.75,9.0,,,1
RR,28.85,9.0,,,1
RR,28.950000000000003,9.0,,,1
RR,29.05,9.0,,,1
RR,29.15,9.0,,,1
RR,29.25,9.0,,,1
RR,29.35,9.0,,,1
RR,29.450000000000003,9.0,,,1
RR,29.55,9.0,,,1
RR,29.65,9.0,,,1
RR,29.75,9.0,,,1
RR,29.85,9.0,,,1
RR,29.950000000000003,9.0,,,1
RR,30.05,9.0,,,1
RR,30.15,9.0,,,1
RR,30.25,9.0,,,1
RR,30.35,9.0,,,1
PF,0.45,6.809607843137255,,,1
PF,0.55,6.430033920741292,,,1
PF,0.65,5.735178517392739,,,1
PF,0.75,5.371312971174251,,,1
PF,0.8500000000000001,5.263789148104986,,,1
PF,0.95,5.371591411356921,,,1
PF,1.05,5.476956088873497,,,1
PF,1.15,5.345699704808125,,,1
PF,1.25,5.353207998853873,,,1
PF,1.35,5.325303638797615,,,1
PF,1.4500000000000002,5.405390218884196,,,1
PF,1.55,5.266204906204906,,,1
PF,1.65,5.13080808080808,,,1
PF,1.75,4.971670117322291,,,1
PF,1.85,4.802622498274673,,,1
PF,1.95,5.020531400966184,,,1
PF,2.0500000000000003,5.28689547167808,,,1
PF,2.15,5.268962982226603,,,1
PF,2.25,5.306450904931918,,,1
PF,2.35,5.084481303651971,,,1
PF,2.45,5.091629479377958,,,1
PF,2.5500000000000003,5.010835828584307,,,1
PF,2.6500000000000004,5.319350725364773,,,1
PF,2.75,5.535831241621909,,,1
PF,2.85,5.613873569664237,,,1
PF,2.95,5.377689624525068,,,1
PF,3.0500000000000003,5.368147268147268,,,1
PF,3.1500000000000004,5.286454146454147,,,1
PF,3.25,5.53397381802445,,,1
PF,3.35,5.575319971870606,,,1
PF,3.45,5.339959776510409,,,1
PF,3.5500000000000003,5.041071428571429,,,1
PF,3.65,4.886904761904762,,,1
PF,3.75,4.914010989010989,,,1
PF,3.85,5.135565476190476,,,1
PF,3.95,5.300316434044883,,,1
PF,4.05,5.385237068965517,,,1
PF,4.15,5.469451812555261,,,1
PF,4.25,5.262065195786126,,,1
PF,4.3500000000000005,5.331665695161906,,,1
PF,4.45,5.047574159457468,,,1
PF,4.55,5.013581465881774,,,1
PF,4.65,4.938675098840576,,,1
PF,4.75,5.075010224288605,,,1
PF,4.8500000000000005,5.181553106693555,,,1
PF,4.95,5.100257667169433,,,1
PF,5.050000000000001,5.087974117385882,,,1
PF,5.15,5.319598049009813,,,1
PF,5.25,5.586754911754912,,,1
PF,5.3500000000000005,5.585612535612536,,,1
PF,5.45,5.428491744756805,,,1
PF,5.550000000000001,5.253913685685075,,,1
PF,5.65,5.158749076631577,,,1
PF,5.75,5.059026241629598,,,1
PF,5.8500000000000005,4.95119689329392,,,1
PF,5.95,4.968120761606677,,,1
PF,6.050000000000001,5.045617706747844,,,1
PF,6.15,5.299467061720795,,,1
PF,6.25,5.486010777567789,,,1
PF,6.3500000000000005,5.194983655380409,,,1
PF,6.45,5.072500041148199,,,1
PF,6.550000000000001,4.820343875502008,,,1
PF,6.65,4.956571956141397,,,1
PF,6.75,4.793589232564162,,,1
PF,6.8500000000000005,5.026829887491563,,,1
PF,6.95,5.031255330035818,,,1
PF,7.050000000000001,5.256604506604506,,,1
PF,7.15,4.983965752953094,,,1
PF,7.25,5.08881423780158,,,1
PF,7.35,4.74937589836324,,,1
PF,7.45,4.688681318681319,,,1
PF,7.550000000000001,4.483593599383073,,,1
PF,7.65,4.813078460513505,,,1
PF,7.75,5.146839144274187,,,1
PF,7.85,5.357588239233809,,,1
PF,7.95,5.365769776745387,,,1
PF,8.05,5.076880887856498,,,1
PF,8.15,5.076219512195123,,,1
PF,8.25,4.92457805907173,,,1
PF,8.35,4.957523795505838,,,1
PF,8.450000000000001,4.948465824491346,,,1
PF,8.55,4.955554432086282,,,1
PF,8.65,4.986562184024267,,,1
PF,8.75,5.00214625945643,,,1
PF,8.85,5.070011427995756,,,1
