scheduler,ue,time_s,mean,CI95_low,CI95_high,n
PF,1,29.55,11.162077540118668,,,1
PF,1,29.65,11.104372117557595,,,1
PF,1,29.75,11.316498582670263,,,1
PF,1,29.85,11.38608721978621,,,1
PF,1,29.950000000000003,11.546088618705546,,,1
PF,1,30.05,11.284551202714423,,,1
PF,1,30.15,11.878768306365489,,,1
PF,1,30.25,11.853216339833276,,,1
PF,1,30.35,12.1003886416348,,,1
PF,2,0.45,11.80281169071402,,,1
PF,2,0.55,11.419213844283036,,,1
PF,2,0.65,11.624147648596525,,,1
PF,2,0.75,11.15033548222054,,,1
PF,2,0.8500000000000001,11.521647077142935,,,1
PF,2,0.95,11.265305014694365,,,1
PF,2,1.05,11.513863477965032,,,1
PF,2,1.15,11.458374305982328,,,1
PF,2,1.25,11.71705189300529,,,1
PF,2,1.35,11.767684804397694,,,1
PF,2,1.4500000000000002,11.605347142060031,,,1
PF,2,1.55,11.63886846905715,,,1
PF,2,1.65,11.522366522366523,,,1
PF,2,1.75,11.540522416240217,,,1
PF,2,1.85,11.320362597023797,,,1
PF,2,1.95,10.986039641700016,,,1
PF,2,2.0500000000000003,11.631685355024157,,,1
PF,2,2.15,11.411441960968965,,,1
PF,2,2.25,11.962895793800977,,,1
PF,2,2.35,11.220325272440604,,,1
PF,2,2.45,11.535118493287577,,,1
PF,2,2.5500000000000003,10.967957666692788,,,1
PF,2,2.6500000000000004,11.44000644470686,,,1
PF,2,2.75,11.563076451309932,,,1
PF,2,2.85,11.396484657359643,,,1
PF,2,2.95,11.204367730520106,,,1
PF,2,3.0500000000000003,10.8493616984183,,,1
PF,2,3.1500000000000004,11.700514738250588,,,1
PF,2,3.25,11.81159429165161,,,1
PF,2,3.35,11.944334978637585,,,1
PF,2,3.45,11.346597286560268,,,1
PF,2,3.5500000000000003,11.44243727970143,,,1
PF,2,3.65,11.063216822899046,,,1
PF,2,3.75,11.512107554808646,,,1
PF,2,3.85,11.365079857663028,,,1
PF,2,3.95,11.607444607098964,,,1
PF,2,4.05,11.399298455556588,,,1
PF,2,4.15,11.410864130447736,,,1
PF,2,4.25,11.78530576731542,,,1
PF,2,4.3500000000000005,11.774032796534287,,,1
PF,2,4.45,11.36457750576433,,,1
PF,2,4.55,11.167248570407525,,,1
PF,2,4.65,11.411047595211423,,,1
PF,2,4.75,11.691995387190865,,,1
PF,2,4.8500000000000005,11.553669533185117,,,1
PF,2,4.95,11.20557523928778,,,1
PF,2,5.050000000000001,10.98795088251248,,,1
PF,2,5.15,11.28225825229155,,,1
PF,2,5.25,11.473039539077275,,,1
PF,2,5.3500000000000005,11.362659004168435,,,1
PF,2,5.45,11.202366163721017,,,1
PF,2,5.550000000000001,11.227425691407724,,,1
PF,2,5.65,11.845680214274408,,,1
PF,2,5.75,11.32048616142202,,,1
PF,2,5.8500000000000005,11.72186078658456,,,1
PF,2,5.95,11.034598576785662,,,1
PF,2,6.050000000000001,11.816181327359928,,,1
PF,2,6.15,11.253794688017598,,,1
PF,2,6.25,11.338983882779942,,,1
PF,2,6.3500000000000005,11.3250745364258,,,1
PF,2,6.45,10.564085913713624,,,1
PF,2,6.550000000000001,11.755986208986892,,,1
PF,2,6.65,10.996250085340428,,,1
PF,2,6.75,11.896503191645076,,,1
PF,2,6.8500000000000005,11.043337262325474,,,1
PF,2,6.95,11.665085757929752,,,1
PF,2,7.050000000000001,11.616509800472064,,,1
PF,2,7.15,11.642291677221223,,,1
PF,2,7.25,11.933458058010244,,,1
PF,2,7.35,11.724966340084563,,,1
PF,2,7.45,11.472608104683578,,,1
PF,2,7.550000000000001,11.284094367510455,,,1
PF,2,7.65,11.375822558116122,,,1
PF,2,7.75,10.945246844521542,,,1
PF,2,7.85,11.077705874696562,,,1
PF,2,7.95,11.626539760456003,,,1
PF,2,8.05,11.958824875759989,,,1
PF,2,8.15,11.583275809173188,,,1
PF,2,8.25,11.464344001273782,,,1
PF,2,8.35,11.446280523140098,,,1
PF,2,8.450000000000001,11.852863788111389,,,1
PF,2,8.55,11.585846830862762,,,1
PF,2,8.65,11.75770583334923,,,1
PF,2,8.75,10.996828031740828,,,1
PF,2,8.85,11.262816301121084,,,1
PF,2,8.950000000000001,11.238988293528267,,,1
PF,2,9.05,11.588478497530865,,,1
PF,2,9.15,11.7864390152126,,,1
PF,2,9.25,11.377245666902349,,,1
PF,2,9.35,11.30836276783077,,,1
PF,2,9.45,10.62090164404889,,,1
PF,2,9.55,11.301983209740024,,,1
PF,2,9.65,11.400196528787784,,,1
PF,2,9.75,11.579683708274962,,,1
PF,2,9.85,11.473962350572217,,,1
PF,2,9.95,11.77962494247584,,,1
PF,2,10.05,11.880046533463467,,,1
PF,2,10.15,11.51690683530306,,,1
PF,2,10.25,11.548584600748862,,,1
PF,2,10.35,11.535716799896951,,,1
PF,2,10.45,11.794546020990325,,,1
PF,2,10.55,11.64270358387346,,,1
PF,2,10.65,11.310652938391833,,,1
PF,2,10.75,11.057115202542777,,,1
PF,2,10.85,11.540795050587915,,,1
PF,2,10.95,11.420062795421694,,,1
PF,2,11.05,11.938978656750118,,,1
PF,2,11.15,11.01964587031315,,,1
