scheduler,ue,time_s,mean,CI95_low,CI95_high,n
IA-FMR,1,17.25,11.320754716981131,,,1
IA-FMR,1,17.35,11.320754716981131,,,1
IA-FMR,1,17.45,11.320754716981131,,,1
IA-FMR,1,17.55,11.320754716981131,,,1
IA-FMR,1,17.650000000000002,11.320754716981131,,,1
IA-FMR,1,17.75,11.320754716981131,,,1
IA-FMR,1,17.85,11.320754716981131,,,1
IA-FMR,1,17.95,11.320754716981131,,,1
IA-FMR,1,18.05,11.320754716981131,,,1
IA-FMR,1,18.15,11.320754716981131,,,1
IA-FMR,1,18.25,11.320754716981131,,,1
IA-FMR,1,18.35,11.320754716981131,,,1
IA-FMR,1,18.45,11.320754716981131,,,1
IA-FMR,1,18.55,11.320754716981131,,,1
IA-FMR,1,18.65,11.320754716981131,,,1
IA-FMR,1,18.75,11.320754716981131,,,1
IA-FMR,1,18.85,11.320754716981131,,,1
IA-FMR,1,18.95,11.320754716981131,,,1
IA-FMR,1,19.05,11.320754716981131,,,1
IA-FMR,1,19.15,11.320754716981131,,,1
IA-FMR,1,19.25,11.320754716981131,,,1
IA-FMR,1,19.35,11.320754716981131,,,1
IA-FMR,1,19.450000000000003,11.320754716981131,,,1
IA-FMR,1,19.55,11.320754716981131,,,1
IA-FMR,1,19.65,11.320754716981131,,,1
IA-FMR,1,19.75,11.320754716981131,,,1
IA-FMR,1,19.85,11.320754716981131,,,1
IA-FMR,1,19.950000000000003,11.320754716981131,,,1
IA-FMR,1,20.05,11.320754716981131,,,1
IA-FMR,1,20.15,11.320754716981131,,,1
IA-FMR,1,20.25,11.320754716981131,,,1
IA-FMR,1,20.35,11.320754716981131,,,1
IA-FMR,1,20.450000000000003,11.320754716981131,,,1
IA-FMR,1,20.55,11.320754716981131,,,1
IA-FMR,1,20.65,11.320754716981131,,,1
IA-FMR,1,20.75,11.320754716981131,,,1
IA-FMR,1,20.85,11.320754716981131,,,1
IA-FMR,1,20.950000000000003,11.320754716981131,,,1
IA-FMR,1,21.05,11.320754716981131,,,1
IA-FMR,1,21.15,11.320754716981131,,,1
IA-FMR,1,21.25,11.320754716981131,,,1
IA-FMR,1,21.35,11.320754716981131,,,1
IA-FMR,1,21.450000000000003,11.320754716981131,,,1
IA-FMR,1,21.55,11.320754716981131,,,1
IA-FMR,1,21.65,11.320754716981131,,,1
IA-FMR,1,21.75,11.320754716981131,,,1
IA-FMR,1,21.85,11.320754716981131,,,1
IA-FMR,1,21.950000000000003,11.320754716981131,,,1
IA-FMR,1,22.05,11.320754716981131,,,1
IA-FMR,1,22.15,11.320754716981131,,,1
IA-FMR,1,22.25,11.320754716981131,,,1
IA-FMR,1,22.35,11.320754716981131,,,1
IA-FMR,1,22.450000000000003,11.320754716981131,,,1
IA-FMR,1,22.55,11.320754716981131,,,1
IA-FMR,1,22.65,11.320754716981131,,,1
IA-FMR,1,22.75,11.320754716981131,,,1
IA-FMR,1,22.85,11.320754716981131,,,1
IA-FMR,1,22.950000000000003,11.320754716981131,,,1
IA-FMR,1,23.05,11.320754716981131,,,1
IA-FMR,1,23.15,11.320754716981131,,,1
IA-FMR,1,23.25,11.320754716981131,,,1
IA-FMR,1,23.35,11.320754716981131,,,1
IA-FMR,1,23.450000000000003,11.320754716981131,,,1
IA-FMR,1,23.55,11.320754716981131,,,1
IA-FMR,1,23.65,11.320754716981131,,,1
IA-FMR,1,23.75,11.320754716981131,,,1
IA-FMR,1,23.85,11.320754716981131,,,1
IA-FMR,1,23.950000000000003,11.320754716981131,,,1
IA-FMR,1,24.05,11.320754716981131,,,1
IA-FMR,1,24.15,11.320754716981131,,,1
IA-FMR,1,24.25,11.320754716981131,,,1
IA-FMR,1,24.35,11.320754716981131,,,1
IA-FMR,1,24.450000000000003,11.320754716981131,,,1
IA-FMR,1,24.55,11.320754716981131,,,1
IA-FMR,1,24.65,11.320754716981131,,,1
IA-FMR,1,24.75,11.320754716981131,,,1
IA-FMR,1,24.85,11.320754716981131,,,1
IA-FMR,1,24.950000000000003,11.320754716981131,,,1
IA-FMR,1,25.05,11.320754716981131,,,1
IA-FMR,1,25.15,11.320754716981131,,,1
IA-FMR,1,25.25,11.320754716981131,,,1
IA-FMR,1,25.35,11.320754716981131,,,1
IA-FMR,1,25.450000000000003,11.320754716981131,,,1
IA-FMR,1,25.55,11.320754716981131,,,1
