figure,panel,scheduler,ue,time_s,rbg_share_pct
fig06,(a) RR,RR,1,16.650000000000002,11.10927213211225
fig06,(a) RR,RR,1,16.75,11.112448550383007
fig06,(a) RR,RR,1,16.85,11.109328853867083
fig06,(a) RR,RR,1,16.95,11.110708088116231
fig06,(a) RR,RR,1,17.05,11.108123883421378
fig06,(a) RR,RR,1,17.150000000000002,11.111942391956868
fig06,(a) RR,RR,1,17.25,11.11100451266745
fig06,(a) RR,RR,1,17.35,11.11100451266745
fig06,(a) RR,RR,1,17.45,11.114250607209952
fig06,(a) RR,RR,1,17.55,11.115126729741943
fig06,(a) RR,RR,1,17.650000000000002,11.114013014658902
fig06,(a) RR,RR,1,17.75,11.110068108096833
fig06,(a) RR,RR,1,17.85,11.108820465250638
fig06,(a) RR,RR,1,17.95,11.108628893268424
fig06,(a) RR,RR,1,18.05,11.108107391761283
fig06,(a) RR,RR,1,18.15,11.11083381285375
fig06,(a) RR,RR,1,18.25,11.111087141593387
fig06,(a) RR,RR,1,18.35,11.11160864310053
fig06,(a) RR,RR,1,18.45,11.112862796803062
fig06,(a) RR,RR,1,18.55,11.112195425392189
fig06,(a) RR,RR,1,18.65,11.110797801353051
fig06,(a) RR,RR,1,18.75,11.111450354598134
fig06,(a) RR,RR,1,18.85,11.1084668118201
fig06,(a) RR,RR,1,18.95,11.11272841954598
fig06,(a) RR,RR,1,19.05,11.110821712598366
fig06,(a) RR,RR,1,19.15,11.114410870029852
fig06,(a) RR,RR,1,19.25,11.109550280572911
fig06,(a) RR,RR,1,19.35,11.107465887673191
fig06,(a) RR,RR,1,19.450000000000003,11.108579602756231
fig06,(a) RR,RR,1,19.55,11.111090040893751
fig06,(a) RR,RR,1,19.65,11.113736313618618
fig06,(a) RR,RR,1,19.75,11.112541675887917
fig06,(a) RR,RR,1,19.85,11.112027843520588
fig06,(a) RR,RR,1,19.950000000000003,11.111100900532216
fig06,(a) RR,RR,1,20.05,11.111100900532216
fig06,(a) RR,RR,1,20.15,11.110579399025076
fig06,(a) RR,RR,1,20.25,11.108398976313794
fig06,(a) RR,RR,1,20.35,11.109515232835925
fig06,(a) RR,RR,1,20.450000000000003,11.112248164784727
fig06,(a) RR,RR,1,20.55,11.112962858895647
fig06,(a) RR,RR,1,20.65,11.111989281778603
fig06,(a) RR,RR,1,20.75,11.110231625375617
fig06,(a) RR,RR,1,20.85,11.11064539565036
fig06,(a) RR,RR,1,20.950000000000003,11.112852170448994
fig06,(a) RR,RR,1,21.05,11.111795972255512
fig06,(a) RR,RR,1,21.15,11.111271474724148
fig06,(a) RR,RR,1,21.25,11.11120832905973
fig06,(a) RR,RR,1,21.35,11.110562874608162
fig06,(a) RR,RR,1,21.450000000000003,11.11067360186478
fig06,(a) RR,RR,1,21.55,11.109443491518965
fig06,(a) RR,RR,1,21.65,11.108852391126474
fig06,(a) RR,RR,1,21.75,11.113403864148651
fig06,(a) RR,RR,1,21.85,11.113907366849103
fig06,(a) RR,RR,1,21.950000000000003,11.113058607311167
fig06,(a) RR,RR,1,22.05,11.10877822515865
fig06,(a) RR,RR,1,22.15,11.108334780786846
fig06,(a) RR,RR,1,22.25,11.11042009516884
fig06,(a) RR,RR,1,22.35,11.11102251932364
fig06,(a) RR,RR,1,22.450000000000003,11.11272011739798
fig06,(a) RR,RR,1,22.55,11.113322541552776
fig06,(a) RR,RR,1,22.65,11.110961690135325
fig06,(a) RR,RR,1,22.75,11.107766017412578
fig06,(a) RR,RR,1,22.85,11.108618227192537
fig06,(a) RR,RR,1,22.950000000000003,11.11183128838995
fig06,(a) RR,RR,1,23.05,11.110976551672168
fig06,(a) RR,RR,1,23.15,11.11012434189221
fig06,(a) RR,RR,1,23.25,11.110229408851383
fig06,(a) RR,RR,1,23.35,11.111465963695444
fig06,(a) RR,RR,1,23.450000000000003,11.111465963695444
fig06,(a) RR,RR,1,23.55,11.11050868695631
fig06,(a) RR,RR,1,23.65,11.113166440580423
fig06,(a) RR,RR,1,23.75,11.111327461581563
fig06,(a) RR,RR,1,23.85,11.113823218794304
fig06,(a) RR,RR,1,23.950000000000003,11.10732090374593
fig06,(a) RR,RR,1,24.05,11.109752096320692
fig06,(a) RR,RR,1,24.15,11.106653914953156
fig06,(a) RR,RR,1,24.25,11.114545748515996
fig06,(a) RR,RR,1,24.35,11.113432033432952
fig06,(a) RR,RR,1,24.450000000000003,11.112446248452372
fig06,(a) RR,RR,1,24.55,11.107413191333212
fig06,(a) RR,RR,1,24.65,11.108891969579489
fig06,(a) RR,RR,1,24.75,11.111999335279142
fig06,(a) RR,RR,1,24.85,11.111226692997064
