figure,panel,scheduler,time_s,value
fig05,(a) Effective number of UEs.,RR,23.450000000000003,8.999998663602335
fig05,(a) Effective number of UEs.,RR,23.55,8.99999936504429
fig05,(a) Effective number of UEs.,RR,23.65,8.999998152257662
fig05,(a) Effective number of UEs.,RR,23.75,8.999996673039933
fig05,(a) Effective number of UEs.,RR,23.85,8.999994970241588
fig05,(a) Effective number of UEs.,RR,23.950000000000003,8.999995582286898
fig05,(a) Effective number of UEs.,RR,24.05,8.99999644789043
fig05,(a) Effective number of UEs.,RR,24.15,8.999997515733066
fig05,(a) Effective number of UEs.,RR,24.25,8.999998009913703
fig05,(a) Effective number of UEs.,RR,24.35,8.999998147700074
fig05,(a) Effective number of UEs.,RR,24.450000000000003,8.999997679354815
fig05,(a) Effective number of UEs.,RR,24.55,8.99999731757024
fig05,(a) Effective number of UEs.,RR,24.65,8.999997091956113
fig05,(a) Effective number of UEs.,RR,24.75,8.999997185809661
fig05,(a) Effective number of UEs.,RR,24.85,8.999997313950491
fig05,(a) Effective number of UEs.,RR,24.950000000000003,8.999998015392444
fig05,(a) Effective number of UEs.,RR,25.05,8.999998170443524
fig05,(a) Effective number of UEs.,RR,25.15,8.999996728231846
fig05,(a) Effective number of UEs.,RR,25.25,8.999995755811492
fig05,(a) Effective number of UEs.,RR,25.35,8.99999590876588
fig05,(a) Effective number of UEs.,RR,25.450000000000003,8.999996991143627
fig05,(a) Effective number of UEs.,RR,25.55,8.999997050970252
fig05,(a) Effective number of UEs.,RR,25.65,8.99999705097025
fig05,(a) Effective number of UEs.,RR,25.75,8.99999705097025
fig05,(a) Effective number of UEs.,RR,25.85,8.999996032787822
fig05,(a) Effective number of UEs.,RR,25.950000000000003,8.99999612061558
fig05,(a) Effective number of UEs.,RR,26.05,8.999996124892881
fig05,(a) Effective number of UEs.,RR,26.15,8.9999972012727
fig05,(a) Effective number of UEs.,RR,26.25,8.999997073370507
fig05,(a) Effective number of UEs.,RR,26.35,8.999997491493541
fig05,(a) Effective number of UEs.,RR,26.450000000000003,8.999997256098718
fig05,(a) Effective number of UEs.,RR,26.55,8.999997143218769
fig05,(a) Effective number of UEs.,RR,26.65,8.999997354370544
fig05,(a) Effective number of UEs.,RR,26.75,8.999998074357137
fig05,(a) Effective number of UEs.,RR,26.85,8.999998016159749
fig05,(a) Effective number of UEs.,RR,26.950000000000003,8.999996300229888
fig05,(a) Effective number of UEs.,RR,27.05,8.999994903501921
fig05,(a) Effective number of UEs.,RR,27.15,8.999994840935514
fig05,(a) Effective number of UEs.,RR,27.25,8.999996556865375
fig05,(a) Effective number of UEs.,RR,27.35,8.9999976884422
fig05,(a) Effective number of UEs.,RR,27.450000000000003,8.999997228510672
fig05,(a) Effective number of UEs.,RR,27.55,8.999996163420088
fig05,(a) Effective number of UEs.,RR,27.65,8.999995319158069
fig05,(a) Effective number of UEs.,RR,27.75,8.999996278421905
fig05,(a) Effective number of UEs.,RR,27.85,8.999997190558103
fig05,(a) Effective number of UEs.,RR,27.950000000000003,8.999998085715783
fig05,(a) Effective number of UEs.,RR,28.05,8.999997977483561
fig05,(a) Effective number of UEs.,RR,28.15,8.99999819692419
fig05,(a) Effective number of UEs.,RR,28.25,8.99999878098424
fig05,(a) Effective number of UEs.,RR,28.35,8.999997662245944
fig05,(a) Effective number of UEs.,RR,28.450000000000003,8.99999720741049
fig05,(a) Effective number of UEs.,RR,28.55,8.999995504612144
fig05,(a) Effective number of UEs.,RR,28.65,8.999995276634332
fig05,(a) Effective number of UEs.,RR,28.75,8.999995512029157
