bandwidth_mhz,seed,identical_pct,same_ue_set_pct,divergence_norm,ues_target_positive,ues_applied_positive,jain_target,jain_applied,n_decisions
10,676063,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,689611,0.0,0.0,0.23078766563324565,9.0,6.999770766473555,0.9629634910572118,0.7664152505288813,47986
10,692469,0.0,0.0,0.11542968907204548,9.0,7.999539604478393,0.9629609988550907,0.8733352165099634,47785
10,708082,0.0,0.0,0.11542227642563067,9.0,7.9996041584199675,0.9629599800385709,0.8733425753639368,47999
10,719490,0.0,0.0,0.23077815192567222,9.0,6.999852395411606,0.9629634973154135,0.7664240313956708,47424
10,720719,0.0,0.0,0.23077857413450711,9.0,6.999845409774519,0.9629635226045482,0.7664232799471017,45281
10,752848,0.0,0.0,0.23078026938229934,9.0,6.99981736112923,0.9629636241451742,0.7664202627399226,38327
10,782218,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,789504,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,792503,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,811895,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629594784849118,0.7664242216036604,47999
10,832404,0.0,0.0,0.2307780456063647,9.0,6.999854154512876,0.9629634909471829,0.7664242206230979,47996
10,868599,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,875143,0.0,0.0,0.11543094679860708,9.0,7.999495741819811,0.9629603336797189,0.8733304062582448,35696
10,875242,0.0,0.0,0.23078395263307233,9.0,6.9997564200709865,0.9629638447616481,0.7664137072789888,28738
10,876524,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,880978,0.0,0.0,0.2307780463410569,9.0,6.9998541423570595,0.9629634909911888,0.7664242193154904,47992
10,885701,0.0,0.0,0.23077805148733352,9.0,6.999854057209574,0.9629634912994365,0.7664242101561317,47964
10,894044,0.0,0.0,0.230778121181164,9.0,6.999852904093469,0.9629634954739031,0.7664240861148401,47588
10,895328,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,906484,0.0,0.0,0.23077806530165113,9.0,6.999853828645409,0.9629634921268758,0.7664241855693671,47889
10,908888,0.0,0.0,0.23078766563324565,9.0,6.999770766473555,0.962965075339957,0.7664152505288813,47986
10,914957,0.0,0.0,0.11541277347540031,9.0,7.9996862384169685,0.9629561114649615,0.8733484596528068,47807
10,915456,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,949592,0.0,0.0,0.23077810235225996,9.0,6.999853215626245,0.9629634943461042,0.7664241196265809,47689
10,95693,0.0,0.0,0.11541025908147486,9.0,7.999708302948224,0.9629556611754028,0.8733504175121349,47995
10,970121,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
